critic_lr,time_elapsed,epoch,rollout/return,total_rollout_steps,actor_lr,rollout/ep_steps
0.0001,4.304481267929077,,-86.52984688666405,200,0.0001,200.0
critic_lr,time_elapsed,epoch,rollout/return,total_rollout_steps,actor_lr,rollout/ep_steps,test/total_rollout_steps,test/mean_final_dist,train/mean_final_dist,train/succ_rate,train/mean_final_dist_reached,test/succ_rate
0.0001,4.304481267929077,,-86.52984688666405,200,0.0001,200.0,,,,,,
,,,,,,,200,0.22501000012470637,0.22501000012470637,,0.17222689703239513,
0.0001,18.055687189102173,1,-77.98483216830327,400,0.0001,200.0,,,,,,
0.0001,22.57359766960144,2,-85.69522284675486,600,0.0001,200.0,,,,,,
0.0001,27.070566654205322,3,-82.06828768644834,800,0.0001,200.0,,,,,,
0.0001,31.664305448532104,4,-76.59218511913343,1000,0.0001,200.0,,,,,,
0.0001,36.12137961387634,5,-80.02984620007533,1200,0.0001,200.0,,,,,,
0.0001,40.65225672721863,6,-86.21924233740111,1400,0.0001,200.0,,,,,,
0.0001,45.227015018463135,7,-86.25370756978724,1600,0.0001,200.0,,,,,,
0.0001,49.79279804229736,8,-84.72089167615859,1800,0.0001,200.0,,,,,,
0.0001,54.41639709472656,9,-80.63999894603054,2000,0.0001,200.0,,,,,,
0.0001,58.860504150390625,10,-85.42040308745334,2200,0.0001,200.0,,,,,,
0.0001,63.39138102531433,11,-87.59569378486268,2400,0.0001,200.0,,,,,,
0.0001,67.74572920799255,12,-80.12188649605172,2600,0.0001,200.0,,,,,,
0.0001,72.18185949325562,13,-77.44711212788388,2800,0.0001,200.0,,,,,,
0.0001,76.42949390411377,14,-89.52656677862207,3000,0.0001,200.0,,,,,,
0.0001,80.8855710029602,15,-108.55174620280906,3200,0.0001,200.0,,,,,,
0.0001,85.38755631446838,16,-77.96552482926157,3400,0.0001,200.0,,,,,,
0.0001,89.74586319923401,17,-93.38018154884344,3600,0.0001,200.0,,,,,,
0.0001,94.21291017532349,18,-83.62261725837854,3800,0.0001,200.0,,,,,,
0.0001,98.80163288116455,19,-85.31135462226273,4000,0.0001,200.0,,,,,,
0.0001,103.35647583007812,20,-86.91917823077972,4200,0.0001,200.0,,,,,,
0.0001,107.9202332496643,21,-82.97688147554312,4400,0.0001,200.0,,,,,,
0.0001,112.47903490066528,22,-74.53499501243863,4600,0.0001,200.0,,,,,,
0.0001,116.81343722343445,23,-86.1283960221935,4800,0.0001,200.0,,,,,,
0.0001,121.27450966835022,24,-88.29696514482562,5000,0.0001,200.0,,,,,,
0.0001,125.76049733161926,25,-85.6090333613373,5200,0.0001,200.0,,,,,,
0.0001,130.04503345489502,26,-74.7024312647637,5400,0.0001,200.0,,,,,,
0.0001,134.4033715724945,27,-82.41575306189829,5600,0.0001,200.0,,,,,,
0.0001,138.8544886112213,28,-87.27639851092258,5800,0.0001,200.0,,,,,,
0.0001,143.2866027355194,29,-83.98894422960115,6000,0.0001,200.0,,,,,,
0.0001,147.55617833137512,30,-84.55331280676647,6200,0.0001,200.0,,,,,,
0.0001,152.061133146286,31,-75.74564211883232,6400,0.0001,200.0,,,,,,
0.0001,156.35566401481628,32,-96.19017918366946,6600,0.0001,200.0,,,,,,
0.0001,160.66510128974915,33,-84.1895658712069,6800,0.0001,200.0,,,,,,
0.0001,165.01449584960938,34,-88.65516653414193,7000,0.0001,200.0,,,,,,
0.0001,169.29301571846008,35,-80.39617949695864,7200,0.0001,200.0,,,,,,
0.0001,173.83087348937988,36,-79.29275547865561,7400,0.0001,200.0,,,,,,
0.0001,178.2021780014038,37,-80.42001687417776,7600,0.0001,200.0,,,,,,
0.0001,182.52760314941406,38,-82.91469314912467,7800,0.0001,200.0,,,,,,
0.0001,187.06546139717102,39,-87.89278176399613,8000,0.0001,200.0,,,,,,
0.0001,191.3579761981964,40,-75.20287949177605,8200,0.0001,200.0,,,,,,
0.0001,195.62159943580627,41,-82.96406795960807,8400,0.0001,200.0,,,,,,
0.0001,199.9150788784027,42,-79.53615615724482,8600,0.0001,200.0,,,,,,
0.0001,204.4469530582428,43,-80.21638167452029,8800,0.0001,200.0,,,,,,
0.0001,208.90106415748596,44,-87.33421706637279,9000,0.0001,200.0,,,,,,
0.0001,213.3182156085968,45,-87.67181825133287,9200,0.0001,200.0,,,,,,
0.0001,217.80620741844177,46,-104.26520320645298,9400,0.0001,200.0,,,,,,
0.0001,222.15257835388184,47,-88.13814168360163,9600,0.0001,200.0,,,,,,
0.0001,226.46507048606873,48,-87.165682603287,9800,0.0001,200.0,,,,,,
0.0001,230.78049111366272,49,-82.84176966740378,10000,0.0001,200.0,,,,,,
critic_lr,time_elapsed,epoch,rollout/return,total_rollout_steps,actor_lr,rollout/ep_steps,test/total_rollout_steps,test/mean_final_dist,train/mean_final_dist,train/succ_rate,train/mean_final_dist_reached,test/succ_rate,actor_loss,critic_loss
0.0001,4.304481267929077,,-86.52984688666405,200,0.0001,200.0,,
critic_lr,time_elapsed,epoch,rollout/return,total_rollout_steps,actor_lr,rollout/ep_steps,test/total_rollout_steps,test/mean_final_dist,train/mean_final_dist,train/succ_rate,train/mean_final_dist_reached,test/succ_rate,,
0.0001,4.304481267929077,,-86.52984688666405,200,0.0001,200.0,,,,,,,,
,,,,,,,200,0.22501000012470637,0.22501000012470637,,0.17222689703239513,,,
0.0001,18.055687189102173,1,-77.98483216830327,400,0.0001,200.0,,,,,,,,
0.0001,22.57359766960144,2,-85.69522284675486,600,0.0001,200.0,,,,,,,,
0.0001,27.070566654205322,3,-82.06828768644834,800,0.0001,200.0,,,,,,,,
0.0001,31.664305448532104,4,-76.59218511913343,1000,0.0001,200.0,,,,,,,,
0.0001,36.12137961387634,5,-80.02984620007533,1200,0.0001,200.0,,,,,,,,
0.0001,40.65225672721863,6,-86.21924233740111,1400,0.0001,200.0,,,,,,,,
0.0001,45.227015018463135,7,-86.25370756978724,1600,0.0001,200.0,,,,,,,,
0.0001,49.79279804229736,8,-84.72089167615859,1800,0.0001,200.0,,,,,,,,
0.0001,54.41639709472656,9,-80.63999894603054,2000,0.0001,200.0,,,,,,,,
0.0001,58.860504150390625,10,-85.42040308745334,2200,0.0001,200.0,,,,,,,,
0.0001,63.39138102531433,11,-87.59569378486268,2400,0.0001,200.0,,,,,,,,
0.0001,67.74572920799255,12,-80.12188649605172,2600,0.0001,200.0,,,,,,,,
0.0001,72.18185949325562,13,-77.44711212788388,2800,0.0001,200.0,,,,,,,,
0.0001,76.42949390411377,14,-89.52656677862207,3000,0.0001,200.0,,,,,,,,
0.0001,80.8855710029602,15,-108.55174620280906,3200,0.0001,200.0,,,,,,,,
0.0001,85.38755631446838,16,-77.96552482926157,3400,0.0001,200.0,,,,,,,,
0.0001,89.74586319923401,17,-93.38018154884344,3600,0.0001,200.0,,,,,,,,
0.0001,94.21291017532349,18,-83.62261725837854,3800,0.0001,200.0,,,,,,,,
0.0001,98.80163288116455,19,-85.31135462226273,4000,0.0001,200.0,,,,,,,,
0.0001,103.35647583007812,20,-86.91917823077972,4200,0.0001,200.0,,,,,,,,
0.0001,107.9202332496643,21,-82.97688147554312,4400,0.0001,200.0,,,,,,,,
0.0001,112.47903490066528,22,-74.53499501243863,4600,0.0001,200.0,,,,,,,,
0.0001,116.81343722343445,23,-86.1283960221935,4800,0.0001,200.0,,,,,,,,
0.0001,121.27450966835022,24,-88.29696514482562,5000,0.0001,200.0,,,,,,,,
0.0001,125.76049733161926,25,-85.6090333613373,5200,0.0001,200.0,,,,,,,,
0.0001,130.04503345489502,26,-74.7024312647637,5400,0.0001,200.0,,,,,,,,
0.0001,134.4033715724945,27,-82.41575306189829,5600,0.0001,200.0,,,,,,,,
0.0001,138.8544886112213,28,-87.27639851092258,5800,0.0001,200.0,,,,,,,,
0.0001,143.2866027355194,29,-83.98894422960115,6000,0.0001,200.0,,,,,,,,
0.0001,147.55617833137512,30,-84.55331280676647,6200,0.0001,200.0,,,,,,,,
0.0001,152.061133146286,31,-75.74564211883232,6400,0.0001,200.0,,,,,,,,
0.0001,156.35566401481628,32,-96.19017918366946,6600,0.0001,200.0,,,,,,,,
0.0001,160.66510128974915,33,-84.1895658712069,6800,0.0001,200.0,,,,,,,,
0.0001,165.01449584960938,34,-88.65516653414193,7000,0.0001,200.0,,,,,,,,
0.0001,169.29301571846008,35,-80.39617949695864,7200,0.0001,200.0,,,,,,,,
0.0001,173.83087348937988,36,-79.29275547865561,7400,0.0001,200.0,,,,,,,,
0.0001,178.2021780014038,37,-80.42001687417776,7600,0.0001,200.0,,,,,,,,
0.0001,182.52760314941406,38,-82.91469314912467,7800,0.0001,200.0,,,,,,,,
0.0001,187.06546139717102,39,-87.89278176399613,8000,0.0001,200.0,,,,,,,,
0.0001,191.3579761981964,40,-75.20287949177605,8200,0.0001,200.0,,,,,,,,
0.0001,195.62159943580627,41,-82.96406795960807,8400,0.0001,200.0,,,,,,,,
0.0001,199.9150788784027,42,-79.53615615724482,8600,0.0001,200.0,,,,,,,,
0.0001,204.4469530582428,43,-80.21638167452029,8800,0.0001,200.0,,,,,,,,
0.0001,208.90106415748596,44,-87.33421706637279,9000,0.0001,200.0,,,,,,,,
0.0001,213.3182156085968,45,-87.67181825133287,9200,0.0001,200.0,,,,,,,,
0.0001,217.80620741844177,46,-104.26520320645298,9400,0.0001,200.0,,,,,,,,
0.0001,222.15257835388184,47,-88.13814168360163,9600,0.0001,200.0,,,,,,,,
0.0001,226.46507048606873,48,-87.165682603287,9800,0.0001,200.0,,,,,,,,
0.0001,230.78049111366272,49,-82.84176966740378,10000,0.0001,200.0,,,,,,,,
0.0001,235.97259879112244,50,-78.41043954023849,10200,0.0001,200.0,,,,,,,-0.47687685,0.39130023
,,50,,,,,10200,0.2250119182595517,0.2250119182595517,,0.26408288240258665,,,
