epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps
,0.0001,0.8487310409545898,-240.6920564508497,0.0001,200,200.0
epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps,test/succ_rate,train/succ_rate,train/mean_final_dist,test/mean_final_dist,test/total_rollout_steps
,0.0001,0.8487310409545898,-240.6920564508497,0.0001,200,200.0,,,,,
,,,,,,,,,0.8964482784791492,0.8929646972558775,200
1,0.0001,19.904816389083862,-241.47240989510752,0.0001,400,200.0,,,,,
2,0.0001,20.809399366378784,-241.31453701607614,0.0001,600,200.0,,,,,
3,0.0001,21.660125732421875,-238.98522240400584,0.0001,800,200.0,,,,,
4,0.0001,22.50486922264099,-240.1096734840614,0.0001,1000,200.0,,,,,
5,0.0001,23.304731607437134,-238.96356492558382,0.0001,1200,200.0,,,,,
6,0.0001,24.102641820907593,-241.52070812468105,0.0001,1400,200.0,,,,,
7,0.0001,24.907146692276,-239.3202493692474,0.0001,1600,200.0,,,,,
8,0.0001,25.691051959991455,-239.3395188316928,0.0001,1800,200.0,,,,,
9,0.0001,26.474030017852783,-238.3794752055229,0.0001,2000,200.0,,,,,
10,0.0001,27.274921894073486,-240.20154748541196,0.0001,2200,200.0,,,,,
11,0.0001,28.109659671783447,-238.5929828040253,0.0001,2400,200.0,,,,,
12,0.0001,28.903571605682373,-239.2280733114309,0.0001,2600,200.0,,,,,
13,0.0001,29.20376467704773,-240.8012892357573,0.0001,2800,200.0,,,,,
14,0.0001,30.01058030128479,-239.35856612000197,0.0001,3000,200.0,,,,,
15,0.0001,30.8034610748291,-238.86321448215423,0.0001,3200,200.0,,,,,
16,0.0001,31.59734034538269,-241.00934140609482,0.0001,3400,200.0,,,,,
17,0.0001,32.54334330558777,-239.07191936382188,0.0001,3600,200.0,,,,,
18,0.0001,33.334229469299316,-240.42935074227015,0.0001,3800,200.0,,,,,
19,0.0001,34.161020278930664,-239.58037976067737,0.0001,4000,200.0,,,,,
20,0.0001,35.01374268531799,-240.41719194836486,0.0001,4200,200.0,,,,,
21,0.0001,35.805657625198364,-240.6898944587711,0.0001,4400,200.0,,,,,
22,0.0001,36.10682916641235,-240.24237336272125,0.0001,4600,200.0,,,,,
23,0.0001,36.38806939125061,-238.75110388704303,0.0001,4800,200.0,,,,,
24,0.0001,36.74312138557434,-239.54345323010196,0.0001,5000,200.0,,,,,
25,0.0001,37.55498290061951,-241.759875593531,0.0001,5200,200.0,,,,,
26,0.0001,38.38373851776123,-240.014558010795,0.0001,5400,200.0,,,,,
27,0.0001,39.1945698261261,-239.8238233752902,0.0001,5600,200.0,,,,,
28,0.0001,39.97149419784546,-239.93487871748908,0.0001,5800,200.0,,,,,
29,0.0001,40.75639629364014,-239.9629895069558,0.0001,6000,200.0,,,,,
30,0.0001,41.057592153549194,-241.59729525030107,0.0001,6200,200.0,,,,,
31,0.0001,41.904330015182495,-239.04164325548763,0.0001,6400,200.0,,,,,
32,0.0001,42.737104415893555,-241.94189394933858,0.0001,6600,200.0,,,,,
33,0.0001,43.58483839035034,-239.28864506550582,0.0001,6800,200.0,,,,,
34,0.0001,44.408637285232544,-240.04424194613543,0.0001,7000,200.0,,,,,
35,0.0001,45.20553803443909,-240.17431682209832,0.0001,7200,200.0,,,,,
36,0.0001,46.01634097099304,-240.43410320735765,0.0001,7400,200.0,,,,,
37,0.0001,46.83315896987915,-239.30209592102872,0.0001,7600,200.0,,,,,
38,0.0001,47.17524480819702,-237.94971193749356,0.0001,7800,200.0,,,,,
39,0.0001,47.986082792282104,-239.92621266791934,0.0001,8000,200.0,,,,,
40,0.0001,48.26533222198486,-239.642274308741,0.0001,8200,200.0,,,,,
41,0.0001,48.56054353713989,-239.750613539324,0.0001,8400,200.0,,,,,
42,0.0001,48.85774850845337,-242.31809385026187,0.0001,8600,200.0,,,,,
43,0.0001,49.66559052467346,-239.88670922897992,0.0001,8800,200.0,,,,,
44,0.0001,50.465453147888184,-240.00570109097987,0.0001,9000,200.0,,,,,
45,0.0001,50.75567698478699,-239.84815093836838,0.0001,9200,200.0,,,,,
46,0.0001,51.04989051818848,-238.7260220310753,0.0001,9400,200.0,,,,,
47,0.0001,51.84376907348633,-240.17052561831358,0.0001,9600,200.0,,,,,
48,0.0001,52.65560007095337,-240.57233974123687,0.0001,9800,200.0,,,,,
49,0.0001,53.46746230125427,-241.96649693071413,0.0001,10000,200.0,,,,,
epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps,test/succ_rate,train/succ_rate,train/mean_final_dist,test/mean_final_dist,test/total_rollout_steps,actor_loss,critic_loss
,0.0001,0.8487310409545898,-240.6920564508497,0.0001,200,200.0,,
epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps,test/succ_rate,train/succ_rate,train/mean_final_dist,test/mean_final_dist,test/total_rollout_steps,,
,0.0001,0.8487310409545898,-240.6920564508497,0.0001,200,200.0,,,,,,,
,,,,,,,,,0.8964482784791492,0.8929646972558775,200,,
1,0.0001,19.904816389083862,-241.47240989510752,0.0001,400,200.0,,,,,,,
2,0.0001,20.809399366378784,-241.31453701607614,0.0001,600,200.0,,,,,,,
3,0.0001,21.660125732421875,-238.98522240400584,0.0001,800,200.0,,,,,,,
4,0.0001,22.50486922264099,-240.1096734840614,0.0001,1000,200.0,,,,,,,
5,0.0001,23.304731607437134,-238.96356492558382,0.0001,1200,200.0,,,,,,,
6,0.0001,24.102641820907593,-241.52070812468105,0.0001,1400,200.0,,,,,,,
7,0.0001,24.907146692276,-239.3202493692474,0.0001,1600,200.0,,,,,,,
8,0.0001,25.691051959991455,-239.3395188316928,0.0001,1800,200.0,,,,,,,
9,0.0001,26.474030017852783,-238.3794752055229,0.0001,2000,200.0,,,,,,,
10,0.0001,27.274921894073486,-240.20154748541196,0.0001,2200,200.0,,,,,,,
11,0.0001,28.109659671783447,-238.5929828040253,0.0001,2400,200.0,,,,,,,
12,0.0001,28.903571605682373,-239.2280733114309,0.0001,2600,200.0,,,,,,,
13,0.0001,29.20376467704773,-240.8012892357573,0.0001,2800,200.0,,,,,,,
14,0.0001,30.01058030128479,-239.35856612000197,0.0001,3000,200.0,,,,,,,
15,0.0001,30.8034610748291,-238.86321448215423,0.0001,3200,200.0,,,,,,,
16,0.0001,31.59734034538269,-241.00934140609482,0.0001,3400,200.0,,,,,,,
17,0.0001,32.54334330558777,-239.07191936382188,0.0001,3600,200.0,,,,,,,
18,0.0001,33.334229469299316,-240.42935074227015,0.0001,3800,200.0,,,,,,,
19,0.0001,34.161020278930664,-239.58037976067737,0.0001,4000,200.0,,,,,,,
20,0.0001,35.01374268531799,-240.41719194836486,0.0001,4200,200.0,,,,,,,
21,0.0001,35.805657625198364,-240.6898944587711,0.0001,4400,200.0,,,,,,,
22,0.0001,36.10682916641235,-240.24237336272125,0.0001,4600,200.0,,,,,,,
23,0.0001,36.38806939125061,-238.75110388704303,0.0001,4800,200.0,,,,,,,
24,0.0001,36.74312138557434,-239.54345323010196,0.0001,5000,200.0,,,,,,,
25,0.0001,37.55498290061951,-241.759875593531,0.0001,5200,200.0,,,,,,,
26,0.0001,38.38373851776123,-240.014558010795,0.0001,5400,200.0,,,,,,,
27,0.0001,39.1945698261261,-239.8238233752902,0.0001,5600,200.0,,,,,,,
28,0.0001,39.97149419784546,-239.93487871748908,0.0001,5800,200.0,,,,,,,
29,0.0001,40.75639629364014,-239.9629895069558,0.0001,6000,200.0,,,,,,,
30,0.0001,41.057592153549194,-241.59729525030107,0.0001,6200,200.0,,,,,,,
31,0.0001,41.904330015182495,-239.04164325548763,0.0001,6400,200.0,,,,,,,
32,0.0001,42.737104415893555,-241.94189394933858,0.0001,6600,200.0,,,,,,,
33,0.0001,43.58483839035034,-239.28864506550582,0.0001,6800,200.0,,,,,,,
34,0.0001,44.408637285232544,-240.04424194613543,0.0001,7000,200.0,,,,,,,
35,0.0001,45.20553803443909,-240.17431682209832,0.0001,7200,200.0,,,,,,,
36,0.0001,46.01634097099304,-240.43410320735765,0.0001,7400,200.0,,,,,,,
37,0.0001,46.83315896987915,-239.30209592102872,0.0001,7600,200.0,,,,,,,
38,0.0001,47.17524480819702,-237.94971193749356,0.0001,7800,200.0,,,,,,,
39,0.0001,47.986082792282104,-239.92621266791934,0.0001,8000,200.0,,,,,,,
40,0.0001,48.26533222198486,-239.642274308741,0.0001,8200,200.0,,,,,,,
41,0.0001,48.56054353713989,-239.750613539324,0.0001,8400,200.0,,,,,,,
42,0.0001,48.85774850845337,-242.31809385026187,0.0001,8600,200.0,,,,,,,
43,0.0001,49.66559052467346,-239.88670922897992,0.0001,8800,200.0,,,,,,,
44,0.0001,50.465453147888184,-240.00570109097987,0.0001,9000,200.0,,,,,,,
45,0.0001,50.75567698478699,-239.84815093836838,0.0001,9200,200.0,,,,,,,
46,0.0001,51.04989051818848,-238.7260220310753,0.0001,9400,200.0,,,,,,,
47,0.0001,51.84376907348633,-240.17052561831358,0.0001,9600,200.0,,,,,,,
48,0.0001,52.65560007095337,-240.57233974123687,0.0001,9800,200.0,,,,,,,
49,0.0001,53.46746230125427,-241.96649693071413,0.0001,10000,200.0,,,,,,,
